,PassengerId,Cabin,Transported
106,0110_04,B/5/P,1
107,0111_01,E/6/S,1
108,0112_01,B/1/S,1
109,0113_01,F/23/P,1
110,0114_01,G/20/S,0
111,0115_01,F/24/P,1
112,0116_01,D/4/P,1
113,0119_01,A/0/P,0
114,0119_02,A/0/P,1
115,0120_01,F/25/P,1
116,0122_01,G/21/S,0
117,0123_01,F/27/P,0
118,0126_01,F/27/S,1
119,0127_01,E/7/S,0
120,0128_01,D/3/S,0
121,0128_02,E/8/S,0
122,0129_01,G/22/S,1
123,0133_01,F/29/S,1
124,0133_02,D/5/S,0
125,0134_01,G/17/P,1
126,0136_01,G/23/S,0
127,0138_01,G/18/P,1
128,0138_02,E/5/P,0
129,0139_01,C/6/S,1
130,0140_01,G/19/P,1
131,0140_02,F/29/P,0
132,0141_01,F/30/P,0
133,0144_01,F/31/S,1
134,0146_01,G/25/S,0
135,0147_01,G/26/S,1
136,0148_01,F/31/P,0
137,0149_01,G/27/S,1
138,0151_01,G/20/P,0
139,0152_01,F/32/P,0
140,0160_01,G/22/P,0
141,0163_01,B/8/P,1
142,0163_02,B/8/P,1
143,0164_01,G/28/S,1
144,0164_02,G/28/S,0
145,0165_01,F/37/P,1
146,0167_01,F/35/S,1
147,0167_02,F/35/S,0
148,0169_01,G/23/P,0
149,0170_01,E/10/S,0
150,0171_01,G/30/S,1
151,0172_01,G/24/P,1
152,0173_01,E/11/S,1
153,0174_01,F/38/P,0
154,0177_01,B/2/S,0
155,0178_01,D/6/S,0
156,0179_01,G/26/P,1
157,0179_02,G/26/P,0
158,0179_03,G/26/P,1
159,0181_01,G/27/P,0
160,0182_01,C/3/P,1
161,0183_01,F/36/S,1
162,0186_01,G/28/P,0
163,0188_01,G/31/S,1
164,0189_01,E/8/P,0
165,0190_01,G/32/S,0
166,0192_01,G/29/P,1
167,0192_02,G/29/P,0
168,0192_03,G/29/P,0
169,0193_01,F/41/P,1
170,0193_02,F/41/P,0
171,0193_03,F/41/P,1
172,0195_01,F/42/P,1
173,0196_01,D/5/P,0
174,0197_01,C/5/P,0
175,0198_01,G/30/P,1
176,0199_01,G/33/S,0
177,0200_01,G/31/P,1
178,0201_01,B/3/S,1
179,0201_02,B/3/S,1
180,0202_01,B/9/P,1
181,0202_02,A/2/P,1
182,0203_01,C/8/S,1
183,0205_01,G/34/S,0
184,0206_01,C/9/S,1
185,0207_01,G/32/P,0
186,0210_01,D/6/P,1
187,0211_01,F/44/P,1
188,0211_02,F/44/P,1
189,0211_03,F/44/P,0
190,0212_01,E/9/P,0
191,0212_02,F/45/P,0
192,0213_01,F/46/P,0
193,0216_01,F/40/S,0
194,0217_01,F/47/P,0
195,0219_01,G/36/P,1
196,0220_01,G/37/P,1
197,0220_02,G/37/P,1
198,0220_03,G/37/P,0
199,0220_04,E/10/P,0
200,0220_05,F/48/P,0
201,0220_06,G/37/P,0
202,0220_07,G/37/P,1
203,0221_01,E/13/S,0
204,0221_02,E/13/S,0
205,0221_03,E/13/S,0
206,0221_04,E/13/S,1
207,0221_05,E/13/S,0
208,0221_06,E/13/S,0
209,0221_07,E/13/S,0
210,0222_01,F/41/S,0
211,0222_02,F/41/S,1
212,0222_03,E/14/S,1
213,0223_01,G/35/S,0
214,0224_01,F/42/S,0
215,0225_01,G/38/P,1
216,0229_01,F/43/S,0
217,0231_01,F/44/S,0
218,0232_01,G/36/S,0
219,0233_01,F/45/S,0
220,0234_01,F/50/P,0
221,0237_01,B/11/P,1
222,0239_01,,0
223,0240_01,F/52/P,1
224,0241_01,E/11/P,0
225,0242_01,F/46/S,0
226,0243_01,G/37/S,0
227,0244_01,,1
228,0244_02,F/47/S,1
229,0245_01,C/6/P,1
230,0245_02,C/6/P,0
231,0246_01,D/8/P,0
232,0248_01,C/10/S,0
233,0250_01,G/38/S,0
234,0251_01,C/11/S,1
235,0252_01,F/53/P,0
236,0253_01,G/42/P,0
237,0254_01,F/54/P,1
238,0255_01,A/3/S,1
239,0257_01,F/49/S,0
240,0257_02,F/49/S,1
241,0258_01,F/50/S,0
242,0260_01,E/16/S,0
243,0261_01,F/56/P,0
244,0263_01,G/43/P,1
245,0265_01,D/8/S,1
246,0267_01,F/51/S,0
247,0269_01,F/52/S,1
248,0270_01,F/59/P,0
249,0275_01,D/9/S,1
250,0277_01,F/61/P,1
251,0278_01,,0
252,0278_02,G/45/P,0
253,0281_01,F/63/P,1
254,0282_01,F/54/S,1
255,0283_01,G/46/P,1
256,0283_02,F/64/P,1
257,0285_01,E/16/P,1
258,0285_02,E/16/P,1
259,0286_01,F/65/P,0
260,0287_01,,1
261,0287_02,B/12/P,0
262,0288_01,F/55/S,0
263,0289_01,C/12/S,1
264,0290_01,B/7/S,1
265,0290_02,B/7/S,1
266,0290_03,B/7/S,1
267,0290_04,B/7/S,1
268,0291_01,D/10/S,1
269,0294_01,B/8/S,1
270,0297_01,G/47/P,1
271,0298_01,A/3/P,1
272,0301_01,,0
273,0302_01,F/67/P,0
274,0303_01,G/41/S,1
275,0304_01,E/18/S,0
276,0305_01,C/7/P,0
277,0306_01,E/19/S,0
278,0307_01,F/59/S,1
279,0309_01,F/60/S,0
280,0310_01,,0
281,0313_01,F/68/P,1
282,0313_02,G/50/P,1
283,0313_03,F/68/P,1
284,0313_04,G/50/P,1
285,0314_01,G/51/P,0
286,0315_01,G/42/S,1
287,0316_01,B/9/S,1
288,0316_02,B/9/S,1
289,0320_01,G/44/S,0
290,0320_02,G/44/S,0
291,0321_01,F/61/S,0
292,0322_01,G/45/S,0
293,0324_01,G/53/P,0
294,0326_01,G/47/S,0
295,0327_01,,1
296,0330_01,C/14/S,1
297,0330_02,C/14/S,1
298,0330_03,C/14/S,0
299,0331_01,F/72/P,0
300,0333_01,F/73/P,1
301,0334_01,F/62/S,0
302,0336_01,F/74/P,0
303,0337_01,F/63/S,1
304,0337_02,F/63/S,1
305,0337_03,F/63/S,1
306,0338_01,G/48/S,1
307,0340_01,B/10/S,1
308,0341_01,G/57/P,0
309,0343_01,F/76/P,0
310,0345_01,E/21/S,0
311,0346_01,G/59/P,1
312,0347_01,F/64/S,0
313,0348_01,D/12/P,1
314,0348_02,,1
315,0350_01,G/60/P,1
316,0352_01,F/78/P,0
317,0355_01,,1
318,0356_01,B/15/P,1
319,0357_01,F/65/S,0
320,0358_01,G/50/S,1
321,0358_02,G/50/S,1
322,0359_01,F/66/S,0
323,0360_01,F/67/S,0
324,0361_01,F/68/S,1
325,0365_01,G/51/S,0
326,0368_01,F/82/P,0
327,0368_02,F/82/P,1
328,0369_01,G/53/S,1
329,0370_01,F/83/P,0
330,0371_01,F/84/P,1
331,0372_01,F/85/P,0
332,0373_01,G/62/P,0
333,0375_01,E/22/P,0
334,0376_01,G/54/S,1
335,0377_01,C/15/S,0
336,0378_01,B/11/S,0
337,0378_02,B/11/S,1
338,0378_03,B/11/S,0
339,0378_04,B/11/S,1
340,0378_05,B/11/S,1
341,0378_06,B/11/S,0
342,0378_07,B/11/S,1
343,0379_01,G/63/P,1
344,0380_01,,1
345,0381_01,B/16/P,1
346,0381_02,B/16/P,1
347,0382_01,G/64/P,0
348,0383_01,G/55/S,0
349,0383_02,G/55/S,0
350,0384_01,G/56/S,1
351,0384_02,G/56/S,1
352,0385_01,G/65/P,0
353,0387_01,G/66/P,0
354,0388_01,G/57/S,0
355,0389_01,E/23/P,0
356,0391_01,C/9/P,1
357,0392_01,E/24/P,0
358,0395_01,B/17/P,0
359,0395_02,B/17/P,0
360,0396_01,G/59/S,1
361,0397_01,F/69/S,1
362,0398_01,D/13/S,0
363,0401_01,D/14/S,0
364,0401_02,D/14/S,0
365,0402_01,D/15/S,1
366,0403_01,D/13/P,1
367,0405_01,F/89/P,0
368,0407_01,G/69/P,0
369,0407_02,F/90/P,0
370,0407_03,G/69/P,0
371,0408_01,E/25/P,0
372,0409_01,F/71/S,0
373,0410_01,F/72/S,0
374,0411_01,F/91/P,0
375,0412_01,C/11/P,1
376,0413_01,F/92/P,0
377,0415_01,G/60/S,0
378,0417_01,B/18/P,1
379,0417_02,B/18/P,0
380,0417_03,B/18/P,1
381,0423_01,B/19/P,1
382,0425_01,F/96/P,0
383,0425_02,F/96/P,1
384,0425_03,F/96/P,1
385,0427_01,E/26/P,1
386,0428_01,C/16/S,1
387,0429_01,A/5/S,1
388,0429_02,A/5/S,1
389,0430_01,F/75/S,1
390,0431_01,F/97/P,1
391,0432_01,F/76/S,0
392,0433_01,B/20/P,1
393,0433_02,B/20/P,0
394,0434_01,F/77/S,1
395,0435_01,G/62/S,1
396,0436_01,G/63/S,1
397,0436_02,G/63/S,0
398,0437_01,F/78/S,0
399,0437_02,F/78/S,0
400,0438_01,B/13/S,1
401,0439_01,C/13/P,0
402,0441_01,F/79/S,0
403,0442_01,F/98/P,0
404,0444_01,D/15/P,0
405,0444_02,F/99/P,0
406,0445_01,F/80/S,0
407,0445_02,E/25/S,0
408,0446_01,B/21/P,1
409,0447_01,F/81/S,1
410,0448_01,E/27/P,0
411,0448_02,G/71/P,1
412,0449_01,G/64/S,1
413,0452_01,E/26/S,1
414,0453_01,B/14/S,1
415,0453_02,,1
416,0453_03,B/14/S,1
417,0454_01,B/15/S,1
418,0454_02,B/15/S,1
419,0454_03,B/15/S,1
420,0456_01,F/83/S,0
421,0457_01,G/72/P,1
422,0457_02,G/72/P,0
423,0457_03,G/72/P,0
424,0458_01,D/16/S,1
425,0459_01,F/84/S,0
426,0460_01,G/65/S,1
427,0461_01,E/27/S,1
428,0461_02,F/85/S,1
429,0461_03,G/66/S,1
430,0462_01,G/67/S,0
431,0463_01,F/100/P,0
432,0463_02,F/100/P,0
433,0465_01,E/28/P,0
434,0465_02,E/28/P,1
435,0466_01,F/101/P,0
436,0468_01,,0
437,0470_01,F/86/S,1
438,0470_02,F/86/S,1
439,0471_01,B/22/P,0
440,0471_02,B/22/P,1
441,0472_01,F/87/S,0
442,0474_01,G/69/S,1
443,0475_01,E/29/P,0
444,0476_01,F/103/P,0
445,0476_02,F/103/P,1
446,0476_03,F/103/P,1
447,0477_01,E/30/P,0
448,0480_01,G/74/P,0
449,0481_01,G/70/S,1
450,0482_01,E/28/S,0
451,0482_02,F/88/S,0
452,0485_01,B/17/S,0
453,0487_01,C/19/S,0
454,0488_01,G/76/P,0
455,0490_01,G/71/S,1
456,0498_01,,1
457,0498_02,B/18/S,1
458,0499_01,F/89/S,1
459,0499_02,E/29/S,0
460,0500_01,D/19/P,1
461,0501_01,E/32/P,0
462,0502_01,,0
463,0503_01,F/90/S,1
464,0503_02,F/90/S,0
465,0503_03,E/31/S,0
466,0504_01,B/19/S,1
467,0504_02,B/19/S,1
468,0504_03,B/19/S,1
469,0504_04,B/19/S,0
470,0504_05,B/19/S,1
471,0504_06,B/19/S,1
472,0506_01,F/91/S,1
473,0507_01,G/74/S,1
474,0510_01,C/16/P,1
475,0512_01,D/18/S,1
476,0512_02,D/18/S,1
477,0513_01,G/78/P,1
478,0515_01,B/20/S,1
479,0516_01,A/6/S,0
480,0517_01,F/109/P,0
481,0518_01,F/92/S,1
482,0519_01,G/77/S,1
483,0520_01,G/78/S,0
484,0521_01,E/32/S,1
485,0522_01,E/33/P,0
486,0523_01,E/33/S,1
487,0525_01,,1
488,0527_01,F/93/S,0
489,0527_02,F/93/S,1
490,0528_01,C/17/P,0
491,0529_01,G/81/P,0
492,0531_01,G/82/P,0
493,0531_02,G/82/P,1
494,0533_01,D/21/P,0
495,0534_01,B/23/P,0
496,0534_02,B/23/P,0
497,0537_01,G/83/P,0
498,0538_01,F/110/P,1
499,0539_01,C/18/P,1
500,0539_02,C/18/P,1
501,0539_03,C/18/P,1
502,0539_04,C/18/P,1
503,0539_05,C/18/P,0
504,0540_01,F/95/S,1
505,0540_02,F/95/S,0
506,0542_01,G/84/P,0
507,0545_01,F/111/P,0
508,0546_01,F/96/S,0
509,0547_01,F/97/S,0
510,0548_01,E/36/S,1
511,0549_01,D/19/S,1
512,0549_02,F/98/S,1
513,0550_01,F/99/S,1
514,0551_01,G/80/S,0
515,0552_01,C/21/S,1
516,0553_01,C/19/P,1
517,0553_02,C/19/P,1
518,0555_01,C/20/P,1
519,0555_02,C/20/P,0
520,0556_01,F/100/S,1
521,0559_01,F/102/S,0
522,0560_01,G/81/S,0
523,0560_02,G/81/S,1
524,0560_03,F/103/S,1
525,0561_01,G/82/S,0
526,0563_01,F/114/P,0
527,0564_01,B/24/P,1
528,0564_02,B/24/P,1
529,0564_03,B/24/P,0
530,0565_01,F/115/P,0
531,0566_01,E/37/S,1
532,0567_01,G/83/S,1
533,0568_01,D/20/S,0
534,0568_02,D/20/S,1
535,0569_01,F/116/P,1
536,0570_01,C/22/S,1
537,0571_01,C/21/P,1
538,0571_02,C/21/P,0
539,0571_03,C/21/P,1
540,0571_04,C/21/P,1
541,0571_05,C/21/P,1
542,0571_06,C/21/P,0
543,0571_07,C/21/P,1
544,0572_01,F/105/S,0
545,0573_01,F/117/P,0
546,0575_01,E/34/P,1
547,0576_01,F/107/S,0
548,0577_01,G/86/P,0
549,0579_01,F/108/S,1
550,0579_02,G/85/S,0
551,0580_01,G/87/P,1
552,0581_01,E/38/S,0
553,0582_01,F/118/P,1
554,0583_01,F/109/S,1
555,0583_02,F/109/S,1
556,0583_03,F/109/S,1
557,0585_01,F/120/P,1
558,0585_02,F/120/P,1
559,0585_03,D/22/P,0
560,0586_01,D/23/P,1
561,0587_01,F/121/P,0
562,0588_01,G/89/P,0
563,0589_01,E/35/P,0
564,0590_01,G/90/P,0
565,0591_01,G/86/S,0
566,0593_01,D/24/P,0
567,0594_01,G/87/S,0
568,0594_02,E/39/S,0
569,0596_01,F/123/P,1
570,0597_01,G/91/P,1
571,0597_02,G/91/P,0
572,0598_01,G/89/S,0
573,0599_01,F/124/P,1
574,0599_02,F/124/P,1
575,0599_03,F/124/P,0
576,0599_04,F/124/P,1
577,0600_01,C/23/S,1
578,0602_01,F/125/P,1
579,0602_02,E/36/P,0
580,0602_03,F/125/P,1
581,0603_01,F/126/P,0
582,0607_01,C/22/P,0
583,0607_02,C/22/P,0
584,0607_03,C/22/P,0
585,0608_01,G/94/P,1
586,0609_01,F/128/P,0
587,0610_01,F/129/P,0
588,0611_01,G/90/S,1
589,0612_01,B/25/P,1
590,0614_01,G/91/S,1
591,0615_01,G/92/S,0
592,0615_02,G/92/S,1
593,0615_03,G/92/S,1
594,0618_01,G/95/P,1
595,0618_02,F/131/P,0
596,0619_01,C/24/S,1
597,0619_02,C/24/S,1
598,0623_01,G/93/S,1
599,0628_01,F/133/P,1
600,0629_01,G/96/P,0
601,0630_01,F/112/S,1
602,0631_01,F/113/S,1
603,0633_01,D/25/P,0
604,0634_01,F/135/P,0
605,0635_01,G/94/S,1
606,0635_02,E/43/S,0
607,0636_01,F/136/P,0
608,0636_02,F/136/P,0
609,0637_01,E/44/S,0
610,0638_01,B/28/P,1
611,0639_01,F/137/P,1
612,0641_01,F/114/S,0
613,0642_01,C/25/S,1
614,0642_02,C/25/S,1
615,0642_03,C/25/S,0
616,0642_04,C/25/S,1
617,0642_05,C/25/S,1
618,0643_01,F/138/P,1
619,0644_01,E/38/P,1
620,0645_01,G/98/P,0
621,0646_01,C/26/S,1
622,0647_01,F/115/S,1
623,0647_02,F/115/S,1
624,0647_03,F/115/S,0
625,0650_01,G/95/S,1
626,0653_01,E/45/S,1
627,0655_01,E/39/P,1
628,0656_01,G/101/P,0
629,0657_01,F/117/S,1
630,0657_02,G/97/S,0
631,0658_01,F/118/S,0
632,0659_01,G/98/S,1
633,0660_01,G/99/S,0
634,0661_01,C/23/P,0
635,0663_01,F/140/P,1
636,0664_01,E/46/S,0
637,0665_01,F/141/P,1
638,0665_02,F/141/P,0
639,0668_01,F/142/P,0
640,0669_01,F/143/P,0
641,0671_01,G/102/P,1
642,0672_01,G/103/P,0
643,0674_01,G/101/S,0
644,0677_01,G/102/S,0
645,0678_01,G/103/S,0
646,0679_01,G/104/S,0
647,0680_01,G/105/P,0
648,0680_02,G/105/P,0
649,0680_03,G/105/P,0
650,0682_01,F/121/S,1
651,0683_01,F/144/P,0
652,0684_01,F/145/P,1
653,0684_02,F/145/P,1
654,0684_03,F/145/P,1
655,0685_01,E/41/P,0
656,0686_01,F/146/P,1
657,0686_02,D/30/P,0
658,0687_01,D/23/S,0
659,0688_01,E/48/S,0
660,0689_01,B/25/S,1
661,0690_01,F/122/S,1
662,0691_01,E/49/S,0
663,0691_02,F/123/S,0
664,0691_03,E/49/S,1
665,0693_01,,1
666,0693_02,C/27/S,0
667,0696_01,G/107/S,1
668,0697_01,F/147/P,1
669,0699_01,F/126/S,1
670,0699_02,D/24/S,0
671,0701_01,D/25/S,1
672,0702_01,F/127/S,0
673,0703_01,G/108/S,1
674,0704_01,G/107/P,1
675,0705_01,F/149/P,1
676,0707_01,G/109/S,1
677,0709_01,A/7/S,1
678,0709_02,A/7/S,1
679,0709_03,,1
680,0710_01,E/42/P,0
681,0712_01,F/150/P,0
682,0712_02,F/150/P,1
683,0713_01,E/50/S,0
684,0714_01,G/109/P,1
685,0714_02,G/109/P,0
686,0714_03,G/109/P,1
687,0714_04,G/109/P,0
688,0714_05,G/109/P,0
689,0714_06,G/109/P,1
690,0714_07,G/109/P,1
691,0715_01,,1
692,0718_01,E/43/P,0
693,0719_01,E/44/P,0
694,0724_01,F/132/S,0
695,0726_01,G/111/P,0
696,0727_01,F/133/S,1
697,0728_01,F/134/S,1
698,0729_01,E/53/S,1
699,0732_01,,0
700,0733_01,F/153/P,0
701,0734_01,F/154/P,0
702,0736_01,F/156/P,0
703,0737_01,C/28/S,0
704,0738_01,F/157/P,1
705,0740_01,C/24/P,0
706,0740_02,C/24/P,1
707,0740_03,C/24/P,0
708,0743_01,G/111/S,1
709,0746_01,G/112/S,0
710,0750_01,F/140/S,0
711,0753_01,A/4/P,1
712,0753_02,A/4/P,0
713,0753_03,,1
714,0754_01,D/31/P,1
715,0756_01,B/27/S,1
716,0756_02,B/27/S,0
717,0756_03,B/27/S,1
718,0757_01,D/33/P,0
719,0761_01,C/26/P,1
720,0762_01,G/114/S,0
721,0764_01,G/115/S,0
722,0765_01,F/142/S,1
723,0765_02,F/142/S,0
724,0767_01,G/116/S,0
725,0768_01,B/32/P,0
726,0768_02,B/32/P,1
727,0769_01,B/28/S,1
728,0770_01,G/117/S,0
729,0770_02,G/117/S,0
730,0770_03,G/117/S,0
731,0770_04,G/117/S,0
732,0770_05,G/117/S,1
733,0770_06,G/117/S,1
734,0771_01,G/112/P,0
735,0772_01,E/56/S,0
736,0772_02,E/56/S,1
737,0772_03,E/56/S,1
738,0772_04,E/56/S,1
739,0773_01,F/143/S,0
740,0776_01,F/161/P,1
741,0777_01,A/5/P,0
742,0779_01,F/162/P,0
743,0781_01,G/118/S,0
744,0782_01,F/163/P,1
745,0784_01,C/33/S,1
746,0785_01,F/165/P,0
747,0786_01,G/113/P,1
748,0787_01,G/114/P,0
749,0788_01,F/166/P,0
750,0789_01,A/8/S,0
751,0789_02,A/8/S,0
752,0789_03,A/8/S,1
753,0790_01,G/119/S,1
754,0791_01,G/115/P,0
755,0793_01,G/117/P,0
756,0794_01,F/144/S,1
757,0794_02,F/144/S,1
758,0795_01,F/145/S,0
759,0796_01,D/28/S,1
760,0797_01,F/146/S,0
761,0798_01,F/147/S,1
762,0799_01,A/6/P,0
763,0802_01,F/148/S,1
764,0805_01,C/29/P,1
765,0806_01,F/149/S,0
766,0806_02,G/120/S,1
767,0808_01,E/57/S,0
768,0809_01,F/151/S,1
769,0809_02,F/151/S,0
770,0809_03,F/151/S,0
771,0809_04,F/151/S,1
772,0811_01,F/152/S,0
773,0811_02,F/152/S,1
774,0811_03,F/152/S,1
775,0813_01,F/169/P,1
776,0815_01,E/59/S,0
777,0816_01,E/60/S,0
778,0817_01,G/119/P,0
779,0818_01,B/29/S,1
780,0819_01,G/121/S,1
781,0820_01,F/154/S,1
782,0820_02,G/122/S,0
783,0822_01,F/156/S,1
784,0823_01,G/123/S,1
785,0823_02,,1
786,0824_01,F/158/S,0
787,0825_01,G/120/P,1
788,0826_01,,1
789,0828_01,F/159/S,0
790,0828_02,F/159/S,1
791,0829_01,F/170/P,1
792,0830_01,F/171/P,1
793,0833_01,,1
794,0834_01,F/173/P,0
795,0835_01,G/124/S,0
796,0836_01,F/160/S,0
797,0839_01,B/30/S,0
798,0840_01,G/123/P,0
799,0845_01,B/31/S,0
800,0846_01,G/125/S,0
801,0848_01,F/175/P,1
802,0848_02,F/175/P,1
803,0849_01,B/32/S,1
804,0849_02,B/32/S,1
805,0850_01,E/62/S,1
806,0851_01,F/176/P,0
807,0853_01,A/9/S,1
808,0859_01,G/127/S,1
809,0860_01,E/48/P,0
810,0863_01,G/129/S,0
811,0863_02,G/129/S,0
812,0863_03,G/129/S,0
813,0865_01,B/35/S,1
814,0865_02,B/35/S,1
815,0867_01,F/163/S,0
816,0868_01,G/130/S,1
817,0869_01,F/164/S,0
818,0870_01,G/126/P,0
819,0871_01,A/10/S,1
820,0873_01,F/180/P,0
821,0874_01,F/165/S,0
822,0875_01,G/131/S,0
823,0876_01,F/166/S,0
824,0877_01,C/30/P,1
825,0878_01,D/31/S,0
826,0879_01,,0
827,0881_01,D/32/S,0
828,0883_01,G/127/P,0
829,0885_01,G/133/S,0
830,0885_02,G/133/S,1
831,0889_01,C/32/P,0
832,0889_02,C/32/P,1
833,0890_01,F/184/P,0
834,0893_01,G/129/P,1
835,0898_01,G/134/S,0
836,0899_01,F/187/P,1
837,0899_02,G/130/P,0
838,0901_01,F/167/S,1
839,0902_01,F/188/P,1
840,0903_01,G/135/S,0
841,0904_01,C/33/P,0
842,0905_01,D/38/P,0
843,0906_01,F/168/S,1
844,0907_01,B/34/P,0
845,0907_02,B/34/P,0
846,0910_01,G/137/S,1
847,0911_01,F/189/P,0
848,0911_02,F/189/P,1
849,0912_01,B/37/S,1
850,0913_01,E/51/P,0
851,0915_01,G/138/S,0
852,0918_01,E/66/S,0
853,0919_01,F/190/P,0
854,0921_01,G/139/S,0
855,0922_01,B/35/P,1
856,0922_02,B/35/P,0
857,0923_01,C/38/S,1
858,0923_02,B/38/S,1
859,0924_01,E/67/S,0
860,0925_01,F/191/P,0
861,0925_02,F/191/P,1
862,0925_03,F/191/P,1
863,0926_01,B/39/S,1
864,0926_02,B/39/S,0
865,0927_01,G/140/S,0
866,0928_01,G/133/P,1
867,0930_01,F/192/P,0
868,0930_02,G/134/P,1
869,0931_01,F/193/P,1
870,0932_01,,1
871,0933_01,C/35/P,1
872,0933_02,C/35/P,0
873,0935_01,F/194/P,0
874,0938_01,F/172/S,0
875,0938_02,E/68/S,1
876,0938_03,G/143/S,1
877,0939_01,G/135/P,1
878,0940_01,G/136/P,1
879,0941_01,F/195/P,0
880,0942_01,F/196/P,0
881,0944_01,G/137/P,0
882,0944_02,G/137/P,0
883,0946_01,F/198/P,1
884,0947_01,G/138/P,0
885,0949_01,G/140/P,1
886,0951_01,G/144/S,1
887,0952_01,F/175/S,0
888,0953_01,F/199/P,0
889,0955_01,G/145/S,0
890,0956_01,E/70/S,1
891,0957_01,F/201/P,1
892,0960_01,E/72/S,0
893,0961_01,G/141/P,1
894,0964_01,B/36/P,1
895,0964_02,B/36/P,1
896,0965_01,F/178/S,0
897,0966_01,F/179/S,0
898,0968_01,E/53/P,0
899,0969_01,F/202/P,1
900,0970_01,G/142/P,1
901,0971_01,G/143/P,0
902,0972_01,E/54/P,0
903,0975_01,E/56/P,1
904,0976_01,G/146/S,0
905,0978_01,F/203/P,0
906,0979_01,B/40/S,1
907,0982_01,G/145/P,1
908,0982_02,G/145/P,0
909,0983_01,G/149/S,1
910,0984_01,G/150/S,0
911,0984_02,F/182/S,0
912,0984_03,G/150/S,0
913,0984_04,G/150/S,1
914,0984_05,F/182/S,0
915,0984_06,G/150/S,1
916,0984_07,G/150/S,0
917,0984_08,G/150/S,1
918,0985_01,E/57/P,1
919,0987_01,F/204/P,0
920,0988_01,G/151/S,0
921,0988_02,E/73/S,1
922,0989_01,G/146/P,0
923,0990_01,F/183/S,0
924,0991_01,G/152/S,0
925,0992_01,D/35/S,1
926,0992_02,D/35/S,0
927,0992_03,D/35/S,1
928,0992_04,,0
929,0992_05,D/35/S,1
930,0992_06,D/35/S,0
931,0993_01,F/184/S,0
932,0994_01,G/153/S,0
933,0994_02,F/185/S,0
934,0995_01,C/36/P,1
935,0997_01,F/186/S,0
936,0998_01,C/37/P,1
937,1000_01,D/39/P,0
938,1001_01,G/154/S,0
939,1002_01,F/187/S,1
